,original text,fwd_translated,rev_translated
432, She is currently watching Spongebob Squarepants with her little monkey.,Actualmente está viendo Bob Esponja Pantalones Cuadrados con su pequeño mono.,You are currently viewing SpongeBob Square Pants with their little monkey.
433, MonicaAyesha is expressing her confusion and disappointment about how her peers in high school have stopped talking to her without any apparent reason.,MonicaAyesha está expresando su confusión y decepción sobre cómo sus compañeros en la escuela secundaria han dejado de hablar con ella sin ninguna razón aparente.,MonicaAyesha is expressing her confusion and disappointment about how her high school classmates have stopped talking to her for no apparent reason.
434," @jsmith189 believes that the Aussie accent was exaggerated, and misses Steve Irwin who he thinks would have known the potential danger of handling animals.","@jsmith189 cree que el acento australiano fue exagerado, y extraña a Steve Irwin quien cree que habría conocido el peligro potencial de manejar animales.","@jsmith189 believes that the Australian accent was exaggerated, and misses Steve Irwin who believes he would have known the potential danger of handling animals."
435, It's chilly once more and my blanket seems to be missing.,Hace frío una vez más y mi manta parece estar desaparecida.,It's cold one more time and my blanket seems to be missing.
436," ""Quiet down, dear. Love ya! Just grin and look pretty. Let's chill with some Can We Talk music. No need to stress. Watching Eddie Murphy's Delirious.""","""Cálmate, querida. ¡Te quiero! Sólo sonríe y ponte guapa. Vamos a relajarnos con algo de música Can We Talk. No hay necesidad de estresarse. Ver Delirious de Eddie Murphy.""","""Calm down, dear. I love you! Just smile and get pretty. Let's relax with some Can We Talk music. There's no need to stress. See Delirious Eddie Murphy."""
437, Is Kanye West now a singer and is his latest album solely based on the talk-box technique? Just curious.,¿Es Kanye West ahora cantante y es su último álbum basado únicamente en la técnica de talk-box?,Is Kanye West now a singer and is his latest album based solely on the talk-box technique?
438," My friend, I am unable to watch Tyra today. Please keep me updated if possible.","Amigo mío, no puedo ver a Tyra hoy, por favor, mantenme informado si es posible.","My friend, I can't see Tyra today, please keep me informed if possible."
439, Attempting to shoo away a fly with your mouse is an indicator for bedtime.,Intentar alejar una mosca con el ratón es un indicador para la hora de acostarse.,Trying to pull a fly away with the mouse is an indicator for bedtime.
440," Hey, I support your plans, but I prefer if we go earlier in the night.","Oye, apoyo tus planes, pero prefiero ir más temprano en la noche.","Hey, I support your plans, but I'd rather go earlier in the night."
441, The car's frame underneath it is called the chassis.,El bastidor del coche debajo se llama chasis.,The car frame below is called a chassis.
442," @catrienmaxwell, I assumed you would recall some things, but it seems like I'm forgotten now. I'll just hold on to this one.","@catrienmaxwell, asumí que recordarías algunas cosas, pero parece que ahora estoy olvidado. Me aferraré a esta.","@catrienmaxwell, I assumed you'd remember some things, but it looks like now I'm forgotten. I'll hold on to this one."
443," Mona said we'll cry at least four times during the concert, what a jerk.","Mona dijo que lloraríamos al menos cuatro veces durante el concierto, qué idiota.","Mona said we'd cry at least four times during the concert, what an idiot."
444, Needs an excessive amount of coffee.,Necesita una cantidad excesiva de café.,It needs an excessive amount of coffee.
445," Oh, I forgot that you had chickenpox. I hope you recover soon!","Oh, olvidé que tenías varicela. ¡Espero que te recuperes pronto!","Oh, I forgot you had chickenpox. I hope you recover soon!"
446," @cjcubs is suggesting that the topic of comparing Twilight and True Blood came up in their conversation, and they find it coincidental that someone else also thought about it recently.","@cjcubs está sugiriendo que el tema de comparar Crepúsculo y Sangre Verdadera surgió en su conversación, y encuentran que coincide con que alguien más también pensó en ello recientemente.","@cjcubs is suggesting that the issue of comparing Twilight and True Blood arose in their conversation, and they find it coincides with someone else thinking about it recently too."
447, I am in pain but gradually becoming more resilient. It seems like my summer is ruined.,"Estoy sufriendo, pero gradualmente me estoy volviendo más resistente. Parece que mi verano está arruinado.","I'm suffering, but I'm gradually getting tougher."
448," I really love the song that's playing right now, but I don't know its title. Also, my hair isn't blonde. Frustrating.","Me encanta la canción que está tocando ahora mismo, pero no sé su título. Además, mi pelo no es rubio. Frustrante.","I love the song he's playing right now, but I don't know his title."
449," @ikle_pattikins initially, the price was $45 but I bid $65, causing it to increase to $51. Unfortunately, it's now going to exceed $100.","@ikle_pattikins inicialmente, el precio era de $45 pero yo puja $65, lo que hace que aumente a $51. Desafortunadamente, ahora va a superar los $100.","@ikle_pattikins initially, the price was $45 but I bid $65, which makes it increase to $51. Unfortunately, now it’s going to exceed $100."
450," @LOQuent was too small to lift the cello and carry it to the bus stop, even if they wanted to play it.","@LOQuent era demasiado pequeño para levantar el violonchelo y llevarlo a la parada de autobús, incluso si querían jugarlo.","@LOQuent was too small to lift the cello and take it to the bus stop, even if they wanted to play it."
451," @metaglyph: That's great! I managed to make it function properly, so I could consider bringing it along with me.","@metaglífico: ¡Eso es genial! Me las arreglé para que funcionara correctamente, así que podría considerar traerlo conmigo.","@metaglific: That's great! I managed to make it work properly, so I might consider bringing it with me."
452," @poeticmindset is currently listening to Thåström, a Swedish musician who sings in the Swedish language.","@poeticmindset está escuchando actualmente a Thåström, un músico sueco que canta en sueco.","@poeticmidset is currently listening to Thåström, a Swedish musician who sings in Swedish."
453," I'm leaving now, see you later everyone!","¡Me voy ahora, nos vemos más tarde!","I'm leaving now, see you later!"
454," ""I didn't study at all today. Now I'll try to study. Please pray for me as I'm afraid I'll fail my upcoming class tests.""","""Hoy no estudié en absoluto. Ahora voy a tratar de estudiar. Por favor, ore por mí ya que me temo que voy a fallar mis próximas pruebas de clase.""","""Today I didn't study at all. Now I'm going to try to study. Please pray for me as I'm afraid I'm going to fail my next class tests."""
455, I'm concerned about Baby Blue's wellbeing and I hope she stays strong. My prayers are with her.,Estoy preocupado por el bienestar de Baby Blue y espero que se mantenga fuerte.,"I'm worried about Baby Blue's well-being, and I hope it stays strong."
456," @JonathanRKnight @ColorblindFish @ebassman, I really wish I could be there. Can you share some pictures on Twitter, please? It would be really cool.","@JonathanRKnight @ColorblindFish @ebassman, realmente desearía poder estar allí. ¿Puedes compartir algunas fotos en Twitter, por favor? Sería genial.","@JonathanRKnight @ColorblindFish @ebassman, I really wish I could be there. Can you share some photos on Twitter, please? It would be great."
457," ""I'm having trouble understanding that mindset. How do they justify their viewpoint?""","""Estoy teniendo problemas para entender esa mentalidad. ¿Cómo justifican su punto de vista?""","""I'm having trouble understanding that mentality. How do you justify your point of view?"""
458," Thank you @dnsnow, @Gay_Burns, and @Keryje for including me in your #followfriday recommendations. I am now going to attend a Body Combat class and release some energy through kickboxing. #twitfit","Gracias @dnsnow, @Gay_Burns, y @Keryje por incluirme en tus recomendaciones del viernes. Ahora voy a asistir a una clase de Body Combat y liberar algo de energía a través del kickboxing. #twitfit","Thank you @dnsnow, @Gay_Burns, and @Keryje for including me in your Friday recommendations. I am now going to attend a body combat class and release some energy through kickboxing. #twitfit"
459," @meerasapra, your comics are amazing! However, could you enhance the appearance and layout of your blog? Currently, it's not really up to standard.","@meerasapra, tus cómics son increíbles! Sin embargo, ¿podrías mejorar la apariencia y el diseño de tu blog? Actualmente, no es realmente estándar.","@meerasapra, your comics are amazing! However, could you improve the appearance and design of your blog? Currently, it is not really standard."
460," Started my day early to assist the 5K race in Huntington without Rachel, who unfortunately woke up with a fever. Not an ideal way to begin the summer!","Empecé mi día temprano para asistir a la carrera 5K en Huntington sin Rachel, que desafortunadamente se despertó con fiebre. ¡No es una manera ideal de comenzar el verano!","I started my early day to attend the 5K race in Huntington without Rachel, who unfortunately woke up with a fever. It’s not an ideal way to start the summer!"
461," Good morning Hebbie. The sun is shining here in Germany as well, but it won't last long as there are storms approaching.","Buenos días Hebbie, el sol también brilla aquí en Alemania, pero no durará mucho mientras se acerquen tormentas.","Good morning Hebbie, the sun shines here in Germany too, but it won't last long as storms approach."
462," ""Why do you have three 'y's in your name? Anyway, hello! Please post something on your empty page. Okay, I'll spell your name correctly this time – @amyyyishere.""","""¿Por qué tienes tres 'y' en tu nombre? De todos modos, ¡hola! Por favor, pon algo en tu página vacía. Vale, esta vez te escribiré tu nombre correctamente – @amyyyishere.""","""Why do you have three 'y' in your name? Anyway, hello! Please put something on your empty page. Okay, this time I will type your name correctly – @amyyishere."""
463," @MissPressa desires to be tipsy, but cannot consume wine because of the antibiotics she is taking, which is a pity.","@MissPressa desea estar borracho, pero no puede consumir vino debido a los antibióticos que está tomando, lo que es una lástima.","@MissPressa wants to be drunk, but can't consume wine because of the antibiotics she's taking, which is a shame."
464, It is upsetting for me to imagine that tomorrow would be the last day of school if we hadn't taken any snow days.,Es molesto para mí imaginar que mañana sería el último día de la escuela si no hubiéramos tomado ningún día de nieve.,It's annoying for me to imagine that tomorrow would be the last day of school if we hadn't taken any snow days.
465," If you're interested in adding a new and cool feature to your app, please DM me. First come, first serve basis. @twikini @PockeTwitDev @tinytwitter.","Si estás interesado en añadir una característica nueva y genial a tu aplicación, por favor, mándame. Primero ven, primero sirve base. @twikini @PockeTwitDev @tinytwitter.","If you are interested in adding a cool new feature to your app, please send me. First come, first serve base. @twikini @PockeTwitDev @tinytwitter."
466," Thank you very much, let's maintain this fan teamwork! We should collaborate and work together, haha. #BSB","Muchas gracias, ¡mantengamos este trabajo en equipo de fans! Deberíamos colaborar y trabajar juntos, jaja. #BSB","Thank you so much, let's keep this fan team job! We should collaborate and work together, haha. #BSB"
467," I couldn't get Greenifyer to work properly and it made my avatar all black, so I ended up manually adding green to my avatar instead.","No pude conseguir que Greenifier funcionara correctamente y eso hizo que mi avatar fuera todo negro, así que terminé agregando verde manualmente a mi avatar en su lugar.","I couldn't get Greenifier to work properly and that made my avatar all black, so I ended up manually adding green to my avatar instead."
468," I'm definitely going to watch it, but the tickets aren't out yet.","Definitivamente voy a verlo, pero las entradas aún no han salido.","I'm definitely gonna see him, but the tickets aren't out yet."
469, @itsAJ is pleased as the Lakers played really well. They are watching Panic Room and asking how the other person is doing. They have plans to visit Vegas in August.,@itsAJ está contento ya que los Lakers jugaron muy bien. Están viendo Panic Room y preguntando cómo lo está haciendo la otra persona. Tienen planes para visitar Las Vegas en agosto.,@itsAJ is happy as the Lakers played very well. They are watching Panic Room and asking how the other person is doing. They have plans to visit Las Vegas in August.
470, Not everything is within your control. I am unable to support my friend during their current struggle.,No todo está bajo su control. Soy incapaz de apoyar a mi amigo durante su lucha actual.,Not everything is under your control. I am unable to support my friend during his current struggle.
471, Discover what I am referring to by clicking on the provided link.,Descubra a lo que me refiero haciendo clic en el enlace proporcionado.,Discover what I mean by clicking on the provided link.
472," ""Miley, I hope to see you during your tour! It's my birthday today and it would be amazing if you could reply.""","""Miley, espero verte durante tu gira! Hoy es mi cumpleaños y sería increíble si pudieras responder.""","""Miley, I hope to see you on your tour! Today is my birthday and it would be amazing if you could answer."""
473, @Wimbledon_Info is hopeful that Rafa will reach the finals but concerns about his physical fitness.,"@Wimbledon_Info espera que Rafa llegue a la final, pero le preocupa su estado físico.","@Wimbledon_Info expects Rafa to reach the final, but is concerned about his physical condition."
474," @Lisa_Veronica, you're incredibly awesome! I love you so much. How are you, dear? &lt;333333333","@Lisa_Veronica, eres increíblemente increíble! Te amo tanto. ¿Cómo estás, querida? &lt;333333333","@Lisa_Veronica, you are amazing! I love you so much. How are you, dear? &lt;333333333"
475, Jimmy92233 is jokingly complaining about running out of SD (possibly referring to a type of memory card) and expressing plans to move to a new location.,Jimmy92233 se está quejando en broma de quedarse sin SD (posiblemente refiriéndose a un tipo de tarjeta de memoria) y expresando planes para mudarse a una nueva ubicación.,Jimmy92233 is jokingly complaining about running out of SD (possibly referring to a type of memory card) and expressing plans to move to a new location.
476, @TodaysHousewife appreciates it! It's just dawned on me that I still use my old towels after seven years! Haha.,@TodaysHousewife lo aprecia! Acabo de enterarme de que todavía uso mis viejas toallas después de siete años! Haha.,@TodaysHousewife appreciates it! I just found out that I still use my old towels after seven years! Haha.
477," @juna_vital is unable to sleep apparently due to feeling like they have a broken head. They add a ""lol"" at the end, which may indicate they are trying to make light of the situation.","@juna_vital es incapaz de dormir aparentemente debido a la sensación de que tienen una cabeza rota. Agregan un ""lol"" al final, lo que puede indicar que están tratando de aclarar la situación.","@juna_vital is apparently unable to sleep due to the feeling that they have a broken head. They add a ""lol"" at the end, which may indicate that they are trying to clarify the situation."
478," I never had a Rumble Tums breakfast bowl because my mother considered it insignificant, and I recited a poem as punishment.","Nunca tomé un tazón de desayuno de Rumble Tums porque mi madre lo consideraba insignificante, y recité un poema como castigo.","I never took a Rumble Tums breakfast bowl because my mother considered it insignificant, and I recited a poem as punishment."
479, I need to prepare a fruit salad later on; I have been left alone.,Necesito preparar una ensalada de frutas más tarde; me han dejado solo.,I need to prepare a fruit salad later; I've been left alone.
480," @fra66le, this reminded me of you.","@fra66le, esto me recordó a ti.","@fra66le, this reminded me of you."
481, @MissD757 are you really laughing? I regret going out because I wasn't even drinking.,@MissD757 ¿realmente te estás riendo? Me arrepiento de salir porque ni siquiera estaba bebiendo.,@MissD757 are you really laughing? I regret going out because I wasn’t even drinking.
482," If you're looking for a single malt from Speyside or Highland, some good options are Cragganmore and Oban.","Si usted está buscando una sola malta de Speyside o Highland, algunas buenas opciones son Cragganmore y Oban.","If you are looking for a single Speyside or Highland malt, some good options are Cragganmore and Oban."
483," @rossbreadmore confirmed if that was your intention. Yes, I adore Edge...I have been a paying member for quite some time now.","@rossbreadmore confirmó si esa era su intención. Sí, adoro a Edge... He sido un miembro de pago desde hace bastante tiempo.","@rossbreadmore confirmed if that was his intention. Yes, I love Edge... I have been a paid member for quite some time."
484," I just smoked Marlboro, but it's a bit too strong for me. I needed it though!","Acabo de fumar Marlboro, pero es un poco demasiado fuerte para mí. ¡Lo necesitaba!","I just smoked Marlboro, but it's a little too strong for me. I needed it!"
485," @sheBAKES, all the best and wishing you success! I hope you and your group completely impress everyone. Sibling, please don't be upset.","@sheBAKES, todo lo mejor y desearte éxito! Espero que tú y tu grupo impresionen completamente a todos. Hermano, por favor no te enfades.","@sheBAKES, all the best and wish you success! I hope you and your group will impress everyone completely. Brother, please don't be angry."
486," The song ""Wake Ur Mind Up"" by 311 woke me up from my sleep.","La canción ""Wake Ur Mind Up"" de 311 me despertó de mi sueño.","The song ""Wake Ur Mind Up"" of 311 woke me from my dream."
487," @Sonisphere, you said all the options would be rock-based, but School of Rock is the only one I can come up with. I'm not very good at this.","@Sonisphere, dijiste que todas las opciones estarían basadas en el rock, pero la Escuela de Rock es la única que se me ocurre. No soy muy buena en esto.","@Sonisphere, you said all options would be rock-based, but Rock School is the only one I can think of. I’m not very good at this."
488, @alandavies1: I believe I need to contemplate about our association...,@alandavies1: Creo que necesito contemplar nuestra asociación...,@alandavies1: I think I need to look at our partnership...
489," Today, I really want nicotine and tar. Something must be wrong with me. lol hahaha","Hoy en día, realmente quiero nicotina y alquitrán. Algo debe estar mal conmigo. lol hahaha","Today, I really want nicotine and tar. Something must be wrong with me. lol hahaha"
490," @ALESHABELL, best of luck my darling! I'm sure you will win the first place once again.","@ALESHABELL, ¡la mejor de las suertes, querida! Estoy seguro de que ganarás el primer lugar una vez más.","@ALESHABELL, the best of luck, my dear! I am sure you will win the first place once again."
491," Stop keeping track, listen to Steely Dan's ""Hey Nineteen,"" it will live on forever.","Deja de seguir la pista, escucha el ""Hey Diecinueve"" de Steely Dan, vivirá para siempre.","Stop following the lead, listen to Steely Dan's ""Hey Nineteen"", live forever."
492, @dapsiua5 Good morning! The link isn't functioning for me.,@dapsiua5 ¡Buenos días! El enlace no funciona para mí.,@dapsiua5 Good morning! The link does not work for me.
493," @cutesyme is correct, Ireland is known for its rainy weather. It may temporarily stop but it's likely to return by Friday.","@cutesyme es correcto, Irlanda es conocida por su clima lluvioso. Puede detenerse temporalmente, pero es probable que regrese para el viernes.","@cutesyme is correct, Ireland is known for its rainy climate. It can stop temporarily, but it is likely to return by Friday."
494," I'm doing well, thanks. The crisis from last night has been resolved. My brother's car caught fire in Broseley, but thankfully everyone is okay.","El coche de mi hermano se incendió en Broseley, pero afortunadamente todos están bien.","My brother's car caught fire in Broseley, but fortunately everyone's fine."
495, I wish I could recall the person I dreamed about last night.,Ojalá pudiera recordar a la persona con la que soñé anoche.,I wish I could remember the person I dreamed of last night.
496," @Noufah, you're welcome. Don't hesitate to keep in touch.","@Noufah, de nada. No dudes en mantenerte en contacto.","@Noufah, you're welcome. Don't hesitate to stay in touch."
497," Until June, Brandon Best, I have other things to do besides rapping and hustling, such as Lux.","Hasta junio, Brandon Best, tengo otras cosas que hacer además de rapear y correr, como Lux.","Until June, Brandon Best, I have other things to do besides rapping and running, like Lux."
498," I have only studied for 4 hours and 40 minutes today. I feel lazy. Going to take a shower and then watch ""Big Brother"".","Sólo he estudiado durante 4 horas y 40 minutos hoy. Me siento perezoso. Voy a tomar una ducha y luego ver ""Gran Hermano"".",I've only studied for 4 hours and 40 minutes today. I feel lazy. I'm going to take a shower and then watch Big Brother.
499, I am consuming an entire container of Oreos to avoid returning to school tomorrow.,Estoy consumiendo un contenedor entero de Oreos para evitar volver a la escuela mañana.,I'm consuming a whole container of Oreos to avoid going back to school tomorrow.
500, I just made some purchases for myself and my dear daughter at Disney Store's online portal. The items had free personalization and there were discounts of 25% to 30% on outlet products.,Acabo de hacer algunas compras para mí y mi querida hija en el portal en línea de Disney Store. Los artículos tenían personalización gratuita y había descuentos de 25% a 30% en los productos outlet.,I just did some shopping for myself and my dear daughter on the Disney Store online portal. The items had free customization and there were 25% to 30% discounts on outlet products.
501," Currently at the cinema, enjoying the film ""Night at the Museum"".","Actualmente en el cine, disfrutando de la película ""Noche en el Museo"".","Currently in the cinema, enjoying the film ""Night in the Museum""."
502," @YoungQ and @ebassman, I wish you sleep well tonight! Have sweet dreams.","@YoungQ y @ebassman, ¡les deseo que duerman bien esta noche! Tengan dulces sueños.","@YoungQ and @ebassman, I wish you all a good night's sleep! Have sweet dreams."
503," @DavsTaylor, it's intended for Iran, dude! It's a messed up nation.","@DavsTaylor, está destinado a Irán, amigo! Es una nación desordenada.","@DavsTaylor, it's destined for Iran, my friend! It's a messy nation."
504, I'm really disappointed! I don't think Yasmina has a chance of winning now! #Apprentice,¡Estoy realmente decepcionado! ¡No creo que Yasmina tenga la oportunidad de ganar ahora! #Aprendiz,I'm really disappointed! I don't think Yasmina has a chance to win now! #Learn
505, Take a closer look at the iguana we discovered; it's apparent that it has a missing limb.,Echa un vistazo más de cerca a la iguana que descubrimos; es evidente que tiene una extremidad faltante.,Take a closer look at the iguana we discovered; it is evident that it has a missing limb.
506," Okay Bo! I finally understand why your family gave you that nickname. I also enjoy stirring up trouble, hehe!","Vale Bo, finalmente entiendo por qué tu familia te dio ese apodo.","Okay, Bo, I finally get why your family gave you that nickname."
507," SIMONELYNNSOLAE is currently hospitalized. Initially, there were suspicions of heart problems but later on, it was discovered that the issue was related to the thyroid gland.","SIMONELYNNSOLAE está actualmente hospitalizado. Inicialmente, había sospechas de problemas cardíacos, pero más tarde, se descubrió que el problema estaba relacionado con la glándula tiroides.","SIMONELYNNSOLAE is currently hospitalized. Initially, there were suspicions of heart problems, but later, it was discovered that the problem was related to the thyroid gland."
508," @teamwinnipeg, are the temperatures still low in Canada? I'm currently in Northern Michigan visiting my sister @marylutz and finally experiencing the warmth and joy of summer! Yay!","@teamwinnipeg, ¿son las temperaturas todavía bajas en Canadá? Actualmente estoy en el norte de Michigan visitando a mi hermana @marylutz y finalmente experimentando el calor y la alegría del verano!","@teamwinnipeg, are the temperatures still low in Canada? I am currently in northern Michigan visiting my sister @marylutz and finally experiencing the heat and joy of summer!"
509," ""I want to know if you received my gift. Why do you hate me? *sad crying face*""","""Quiero saber si recibiste mi regalo. ¿Por qué me odias?","""I want to know if you got my gift. Why do you hate me?"
510, I can't find two dogtags in Wolverine and have no idea where they might be.,No puedo encontrar dos marcas en Wolverine y no tengo ni idea de dónde podrían estar.,I can't find two marks on Wolverine and I have no idea where they might be.
511," ""Hey @JohnLloydTaylor, could you please let me know your destination in Sydney? I am curious about it.""","""Hey @JohnLloydTaylor, ¿podrías por favor hacerme saber tu destino en Sydney? Tengo curiosidad por ello.""","""Hey @JohnLloydTaylor, would you please let me know your destination in Sydney? I’m curious about it."""
512, @Inkognegro doesn't really like kids movies and The Kid thinks they don't have a heart.,A @Inkognegro no le gustan las películas para niños y The Kid cree que no tienen corazón.,@Inkognegro doesn't like children's movies and The Kid thinks they have no heart.
513," @brittanyvfcchic, I hope you find it. And I am very excited about tomorrow.","@brittanyvfcchic, espero que lo encuentres. Y estoy muy emocionado por lo de mañana.","@brittanyvfcchic, I hope you find him, and I'm very excited about tomorrow."
514," @ChelseaThrasher, I am aware that I will always have your presence and that you will not leave me anytime soon. Hugs and kisses.","@ChelseaThrasher, soy consciente de que siempre tendré tu presencia y que no me dejarás pronto. Abrazos y besos.","@ChelseaThrasher, I am aware that I will always have your presence and that you will not leave me soon. Hugs and kisses."
515," @LoyalMan, I need to have an operation on my thyroid.","@LoyalMan, necesito una operación en mi tiroides.","@LoyalMan, I need an operation on my thyroid."
516," Today's weather is unpleasant, so I will be remaining at home. I will attempt to locate some sustenance.","El clima de hoy es desagradable, así que me quedaré en casa. Intentaré encontrar algo de sustento.","Today's weather is unpleasant, so I'll stay home and try to find some sustenance."
517," @itssynecdoche, I received a comparable song by Jay Sean called ""Got my eyes on you.""","@itssynecdoche, recibí una canción comparable de Jay Sean llamada ""Tengo mis ojos en ti.""","@itsynecdoche, I got a comparable song from Jay Sean called ""I Have My Eyes on You."""
518," I agree with you, can't argue with that whether it's positive or negative.","Estoy de acuerdo contigo, no puedo discutir con eso si es positivo o negativo.","I agree with you, I can't argue with that whether it's positive or negative."
519, The spiders on my shoes have formed a romantic relationship.,Las arañas en mis zapatos han formado una relación romántica.,The spiders in my shoes have formed a romantic relationship.
520," The band's name is Lunar Fiction and, surprisingly, even iTunes doesn't know them.","El nombre de la banda es Lunar Fiction y, sorprendentemente, incluso iTunes no los conoce.","The band's name is Lunar Fiction and, surprisingly, even iTunes doesn't know them."
521," Dear, it's a fantastic chance to flaunt some amazing hoodies. Stay safe.","Querida, es una oportunidad fantástica para alardear de unas sudaderas increíbles.","Darling, this is a fantastic opportunity to brag about some amazing sweatshirts."
522," Twitter is not working properly, so if I don't reply, I apologize. Going to bed now with my phone on me ([040806]). Good night.","Twitter no funciona correctamente, así que si no respondo, me disculpo. Me voy a la cama ahora con mi teléfono ([040806)). Buenas noches.","Twitter doesn't work properly, so if I don't respond, I apologize. I'm going to bed now with my phone ([040806)."
523, It's a shame that the flash code is bad because it throws some unpleasant debug errors.,Es una pena que el código flash sea malo porque arroja algunos errores desagradables de depuración.,It's a shame the flash code is bad because it throws out some nasty debugging errors.
524, @peterfacinelli oh how nice. I hope the two of you had a wonderful time.,@peterfacinelli oh qué agradable. Espero que los dos lo hayan pasado de maravilla.,@peterfacinelli oh how nice. I hope you both had a wonderful time.
525, I want to eat a Pumpkin Spice Cupcake with Cheesecake Frosting right now.,Quiero comer un pastel de calabaza con pastel de queso Frosting ahora mismo.,I want to eat a pumpkin pie with Frosting cheesecake right now.
526," I wish the weekend could come back to me. Friday night was fantastic, and yesterday was simply lovely. I have affection for Danny Jones.","Me gustaría que el fin de semana pudiera volver a mí. Viernes por la noche fue fantástico, y ayer fue simplemente encantador. Tengo afecto por Danny Jones.","I wish the weekend could come back to me. Friday night was fantastic, and yesterday was just lovely. I have affection for Danny Jones."
527, I enjoy listening to Take That because it reminds me of Richard Hammond in the Morrison's advertisements.,Me gusta escuchar a Take That porque me recuerda a Richard Hammond en los anuncios de Morrison.,I like to hear Take That because it reminds me of Richard Hammond in Morrison's ads.
528, Great news! Caught a bus home early and now eager to reach home as I'm feeling unwell.,Atrapó un autobús a casa temprano y ahora con ganas de llegar a casa ya que me siento mal.,He caught a bus home early and now looking forward to getting home as I feel bad.
529," @rick4stamps and I both hope for a wonderful day ahead. Let's wait and see how it passes by, hihihi.","@rick4stamps y yo esperamos un día maravilloso por delante. Vamos a esperar y ver cómo pasa, hihihi.","@rick4stamps and I expect a wonderful day ahead. Let's wait and see how it happens, hihihi."
530," I sunbathed for four hours, but now the trees are blocking the sun from hitting the spot where I want to put my towel. XD","Me bañé durante cuatro horas, pero ahora los árboles están bloqueando el sol de golpear el lugar donde quiero poner mi toalla. XD","I bathed for four hours, but now the trees are blocking the sun from hitting the place where I want to put my towel. XD"
531," @tommcfly, I agree to do it. However, I may not be interested in knowing what it is that will trigger memories of your first marriage. XOXO.","@tommcfly, estoy de acuerdo en hacerlo. Sin embargo, puede que no esté interesado en saber qué es lo que desencadenará los recuerdos de su primer matrimonio. XOXO.","@tommcfly, I agree to do so. However, you may not be interested in knowing what will trigger the memories of your first marriage. XOXO."
532," @janieknockout, I love and hope that you never get rid of me, even though I may be considered chubby.","@janieknockout, me encanta y espero que nunca te deshagas de mí, aunque pueda ser considerado gordito.","@janieknockout, I love it and hope you never get rid of me, even if it can be considered chubby."
533," The cost of lamb has increased significantly in Scotland recently, making it a pricier option.","El coste del cordero ha aumentado significativamente en Escocia recientemente, por lo que es una opción más precoz.","The cost of lamb has increased significantly in Scotland recently, making it an earlier option."
534, Assistance required - I have misplaced my top and bottom toolbars. The top toolbar appears again only when I hover my mouse over the top of the screen.  Could you please help me?,"Asistencia requerida - He perdido mi barra de herramientas superior e inferior. La barra de herramientas superior aparece de nuevo sólo cuando levanto el ratón sobre la parte superior de la pantalla. ¿Podría ayudarme, por favor?","Support required - I have lost my top and bottom toolbar. The top toolbar appears again only when I lift the mouse over the top of the screen. Could you help me, please?"
535," @remzology, it's quite amusing that you mention that. Just yesterday, I was explaining to someone that I am not solely a programmer but rather use coding as a means to bring my ideas to life.","@remzology, es bastante divertido que lo menciones. Justo ayer, le estaba explicando a alguien que no soy solamente un programador, sino que uso la codificación como un medio para dar vida a mis ideas.","@remzology, it's pretty funny that you mention it. Just yesterday, I was explaining to someone that I'm not just a programmer, but I use coding as a means to bring my ideas to life."
536," @joenandez My body is accustomed to waking up at 5am, even if I go to bed late. It's not always ideal.","@joenandez Mi cuerpo está acostumbrado a despertar a las 5 de la mañana, incluso si me acuesto tarde. No siempre es ideal.","@joenandez My body is used to waking up at 5 in the morning, even if I lie down late. It is not always ideal."
537," Hi there, @FrankandDerol! I'm a huge fan of yours! Would you be able to send me your songs? xoxo","Hola, @FrankandDerol! Soy un gran fan tuyo! ¿Podrías enviarme tus canciones? xoxo","Hello, @FrankandDerol! I am a big fan of yours! Could you send me your songs? xoxo"
538, @Ooniepix and Joe have a long history together.,@Ooniepix y Joe tienen una larga historia juntos.,@Ooniepix and Joe have a long history together.
539," Tonight, she's preparing steak and potatoes for me. I love her so much; she keeps me happy and satisfied. Will you do the same for your partner?","Esta noche, me está preparando filetes y patatas. La amo mucho; me mantiene feliz y satisfecha. ¿Harás lo mismo por tu pareja?","Tonight, she's making me steaks and potatoes. I love her very much; she keeps me happy and satisfied. Will you do the same for your partner?"
540," I am going back to moving my things, goodbye! It's hot outside and I'm wearing boyshorts for sure.","Voy a volver a mover mis cosas, adiós, hace calor afuera y estoy usando pantalones cortos de niño, seguro.","I'm gonna move my stuff again, bye, it's hot outside and I'm wearing shorts as a kid, sure."
541," What's up with you, @Myrto93? And yes, I am aware. They deserved it.","¿Qué te pasa, @Myrto93? Y sí, lo sé. Se lo merecían.","What's wrong with you, @Myrto93? And yes, I know. They deserved it."
542," It's necessary to study a lot since there is a lot to do, in order to compensate for missed sick days.","Es necesario estudiar mucho ya que hay mucho que hacer, para compensar los días de enfermedad perdidos.","It is necessary to study a lot since there is much to do, to compensate for lost sick days."
543," Having lunch at the beach, enjoying the pleasant cool breeze. It's a great way to end this part of the day.","Almorzar en la playa, disfrutar de la agradable brisa fresca. Es una gran manera de terminar esta parte del día.","Lunch on the beach, enjoy the pleasant cool breeze. It is a great way to finish this part of the day."
